iter	Passed	Remaining
0	96	193839
1	182	181906
2	266	177284
3	365	182135
4	453	180869
5	535	178061
6	618	176188
7	702	174888
8	784	173447
9	866	172443
10	950	171861
11	1038	171990
12	1122	171501
13	1204	170923
14	1288	170536
15	1381	171287
16	1477	172305
17	1563	172201
18	1647	171821
19	1731	171450
20	1818	171345
21	1900	170870
22	1986	170722
23	2073	170690
24	2159	170608
25	2244	170403
26	2331	170338
27	2420	170490
28	2515	170972
29	2603	170957
30	2687	170670
31	2769	170342
32	2856	170272
33	2942	170131
34	3031	170183
35	3115	169945
36	3199	169739
37	3282	169489
38	3370	169485
39	3456	169371
40	3543	169301
41	3655	170401
42	3742	170322
43	3829	170225
44	3913	170037
45	4001	169967
46	4084	169732
47	4169	169564
48	4254	169414
49	4343	169380
50	4431	169341
51	4517	169229
52	4604	169142
53	4688	168950
54	4788	169339
55	4879	169380
56	4965	169256
57	5049	169061
58	5135	168950
59	5221	168820
60	5306	168681
61	5394	168617
62	5484	168618
63	5571	168540
64	5655	168350
65	5739	168181
66	5823	168005
67	5928	168445
68	6016	168376
69	6102	168241
70	6189	168158
71	6276	168065
72	6360	167901
73	6446	167771
74	6531	167639
75	6614	167462
76	6698	167292
77	6784	167167
78	6867	166995
79	6969	167273
80	7056	167178
81	7139	166991
82	7226	166898
83	7310	166755
84	7397	166669
85	7484	166581
86	7570	166471
87	7658	166395
88	7743	166269
89	7830	166172
90	7923	166224
91	8028	166501
92	8120	166523
93	8205	166385
94	8294	166320
95	8378	166173
96	8461	166000
97	8543	165817
98	8628	165682
99	8711	165523
100	8804	165541
101	8890	165441
102	8976	165325
103	9062	165215
104	9170	165504
105	9261	165480
106	9346	165346
107	9431	165222
108	9514	165064
109	9598	164927
110	9683	164795
111	9766	164639
112	9848	164463
113	9932	164314
114	10016	164187
115	10102	164072
116	10186	163942
117	10287	164075
118	10374	163993
119	10459	163858
120	10544	163747
121	10629	163628
122	10714	163504
123	10798	163365
124	10883	163253
125	10970	163161
126	11055	163052
127	11140	162929
128	11225	162806
129	11310	162692
130	11396	162591
131	11481	162485
132	11570	162421
133	11661	162384
134	11748	162300
135	11834	162199
136	11920	162100
137	12021	162197
138	12122	162301
139	12209	162216
140	12293	162085
141	12381	162001
142	12468	161910
143	12559	161872
144	12644	161765
145	12731	161673
146	12817	161572
147	12904	161482
148	12990	161381
149	13078	161298
150	13165	161212
151	13263	161251
152	13357	161255
153	13458	161321
154	13547	161258
155	13634	161165
156	13722	161082
157	13807	160974
158	13894	160876
159	13992	160913
160	14085	160891
161	14174	160818
162	14259	160707
163	14345	160598
164	14435	160535
165	14520	160421
166	14607	160329
167	14694	160234
168	14785	160190
169	14878	160158
170	14970	160123
171	15076	160235
172	15175	160259
173	15263	160176
174	15349	160070
175	15435	159967
176	15521	159864
177	15612	159807
178	15701	159734
179	15786	159620
180	15871	159503
181	15957	159401
182	16050	159361
183	16138	159275
184	16247	159397
185	16340	159360
186	16429	159285
187	16516	159195
188	16603	159097
189	16689	158987
190	16774	158872
191	16862	158787
192	16947	158677
193	17033	158572
194	17118	158457
195	17205	158361
196	17292	158263
197	17398	158340
198	17489	158287
199	17577	158198
200	17666	158122
201	17760	158089
202	17848	158001
