iter	Passed	Remaining
0	30	60485
1	47	47778
2	64	43238
3	81	40801
4	100	40046
5	118	39432
6	136	38790
7	153	38154
8	172	38198
9	189	37802
10	207	37471
11	224	37193
12	238	36514
13	253	36006
14	270	35791
15	287	35597
16	304	35480
17	326	35940
18	344	35942
19	361	35795
20	380	35820
21	400	36012
22	418	35974
23	437	36016
24	454	35896
25	471	35786
26	489	35795
27	507	35760
28	525	35704
29	542	35623
30	559	35549
31	577	35499
32	597	35617
33	617	35733
34	637	35768
35	656	35815
36	674	35771
37	692	35739
38	709	35677
39	726	35621
40	744	35575
41	761	35515
42	779	35457
43	796	35401
44	815	35438
45	833	35407
46	850	35330
47	869	35339
48	886	35284
49	902	35212
50	920	35184
51	938	35158
52	956	35151
53	974	35121
54	998	35301
55	1017	35313
56	1035	35312
57	1054	35307
58	1073	35310
59	1091	35281
60	1110	35311
61	1130	35328
62	1150	35366
63	1172	35464
64	1193	35526
65	1210	35468
66	1231	35518
67	1247	35444
68	1261	35316
69	1281	35326
70	1300	35337
71	1319	35337
72	1341	35409
73	1360	35406
74	1385	35556
75	1402	35517
76	1424	35586
77	1448	35690
78	1468	35704
79	1490	35773
80	1509	35758
81	1526	35715
82	1548	35773
83	1571	35836
84	1589	35799
85	1607	35770
86	1625	35733
87	1642	35685
88	1659	35642
89	1677	35604
90	1695	35565
91	1712	35524
92	1731	35494
93	1748	35460
94	1767	35439
95	1785	35411
96	1804	35395
97	1822	35370
98	1842	35372
99	1861	35359
100	1879	35342
101	1899	35348
102	1913	35248
103	1930	35198
104	1947	35150
105	1966	35129
106	1983	35084
107	2000	35045
108	2019	35030
109	2036	34994
110	2054	34971
111	2072	34941
112	2092	34938
113	2112	34956
114	2130	34923
115	2148	34889
116	2166	34869
117	2184	34844
118	2202	34814
119	2220	34788
120	2238	34759
121	2256	34737
122	2275	34721
123	2293	34695
124	2314	34713
125	2332	34695
126	2351	34677
127	2372	34691
128	2389	34656
129	2407	34629
130	2425	34607
131	2442	34570
132	2460	34538
133	2478	34515
