iter	RMSE	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
0	0.3123785826	0.1260417645	0.7862655319	0.2439214601
1	0.3122943276	0.1308292847	0.8147915254	0.2788587574
2	0.312202602	0.1334471796	0.8292183607	0.3114648397
3	0.3121126084	0.1354554278	0.8410795662	0.3369881641
4	0.3120273638	0.1363161055	0.8452472581	0.3421112438
5	0.311952725	0.1367643752	0.8480703609	0.3463131306
6	0.3118863206	0.136782306	0.8479686173	0.3488962718
7	0.3118251941	0.1370154062	0.8501720509	0.3530059545
8	0.3117664395	0.1374278144	0.85140072	0.3540518046
9	0.3117192049	0.1374278144	0.8502833357	0.3537638997
10	0.3116714974	0.1376609146	0.8520913567	0.3545661898
11	0.3116253557	0.1374995375	0.8504266461	0.355502697
12	0.3115856309	0.1375353991	0.8500241996	0.3568745882
13	0.3115465333	0.1376071222	0.850401891	0.3581221615
14	0.3115043382	0.1378581532	0.8520934396	0.3580420047
15	0.3114659605	0.1380195303	0.8530210085	0.3604575024
16	0.3114201478	0.1380374611	0.8532245087	0.3623231437
17	0.3113860008	0.1381271151	0.8539776018	0.362184392
18	0.31135364	0.1380553919	0.8535326699	0.3619735847
19	0.3113215344	0.1382705613	0.8540086728	0.3622088491
20	0.3112922391	0.1385574539	0.8554410788	0.3625804884
21	0.3112551508	0.1385753847	0.8549610745	0.363514526
22	0.3112167833	0.1384857308	0.8555118058	0.3635961537
23	0.3111959641	0.1387367618	0.8566545312	0.3651297688
24	0.3111683753	0.1389160697	0.8577901478	0.3657697338
25	0.3111406153	0.1389340005	0.8579907371	0.365772388
26	0.311115198	0.1387905542	0.8569743681	0.3660990212
27	0.3110835609	0.1388981389	0.8572154376	0.3667347541
28	0.3110655601	0.138969862	0.8572424114	0.3671372789
29	0.3110410424	0.139059516	0.8580292314	0.3673081339
30	0.3110083408	0.1389877928	0.857609074	0.3696745055
31	0.3109796958	0.1391312391	0.8588453021	0.3697008502
32	0.3109565349	0.1392029623	0.8596521876	0.3708810301
33	0.3109350959	0.1391312391	0.8586181788	0.3711284881
34	0.3109187713	0.1391850315	0.8589269868	0.3706036283
35	0.3108981055	0.1392029623	0.8595110182	0.3715380955
36	0.3108815481	0.1391850315	0.8599846898	0.3713766931
37	0.3108581261	0.1391133083	0.8593055904	0.3728060144
38	0.3108387259	0.139059516	0.8587444226	0.3730352813
39	0.3108147063	0.1390953776	0.8595045367	0.3738716559
40	0.3107952888	0.1389877928	0.8584539556	0.3749030863
41	0.3107767291	0.1389877928	0.8585834557	0.3747385049
42	0.3107611307	0.1389160697	0.8583444664	0.3751803458
43	0.3107320629	0.1389877928	0.8587713188	0.3764506873
44	0.3106988985	0.1391671007	0.8594001604	0.3765336747
45	0.3106739164	0.1392208931	0.8594759393	0.3765750174
46	0.3106538101	0.1392029623	0.8593286507	0.3761574032
47	0.3106385955	0.1393643394	0.8601464938	0.377251404
48	0.3106128909	0.1393643394	0.860240417	0.3788380011
49	0.3105997167	0.1394898549	0.8607557913	0.3792079469
50	0.310579236	0.1395257164	0.860857826	0.3790377693
51	0.3105640114	0.1395974396	0.8613028937	0.3793749432
52	0.3105434065	0.1394898549	0.8609126857	0.3797900782
53	0.3105270529	0.139561578	0.8617733634	0.3794611237
54	0.3105128376	0.1395974396	0.861860527	0.3805069867
55	0.3104952887	0.1396153704	0.8620788984	0.3808621896
56	0.3104674511	0.139651232	0.8625037584	0.381474508
57	0.3104460779	0.1396870935	0.8627398471	0.3830570755
58	0.3104277408	0.139651232	0.8622467505	0.3831166234
59	0.3104128825	0.1397946783	0.8625413277	0.3840754019
60	0.3103973796	0.1398664014	0.8629133915	0.3842880809
61	0.3103839779	0.1398843322	0.8633143438	0.3852074181
62	0.3103682594	0.1398484706	0.8633766035	0.3854034428
63	0.3103511333	0.1398484706	0.863437867	0.3850388345
64	0.3103370492	0.1398484706	0.8634752228	0.3852648262
65	0.3103152781	0.1397767475	0.8630860109	0.3844871661
66	0.3102960939	0.139902263	0.8639192944	0.3851962338
67	0.3102813753	0.1399381246	0.8636658609	0.385496915
68	0.310260637	0.1399739861	0.8637412841	0.3857691143
69	0.310241721	0.1399560553	0.8636670705	0.3858753769
70	0.3102308748	0.1399560553	0.8636670705	0.3855683537
71	0.3102113816	0.1400995016	0.8641506158	0.3865291405
72	0.3102015478	0.140153294	0.8649151647	0.3871643924
73	0.3101834754	0.1401712248	0.8648340492	0.3868397443
74	0.3101653482	0.1402250171	0.8658082886	0.386885839
75	0.310152703	0.1402250171	0.8651956534	0.3873509435
76	0.3101319843	0.1402429479	0.8653241574	0.3877207654
77	0.3101137031	0.1403146711	0.8660433812	0.3893001305
78	0.3101013404	0.1404222558	0.8666759395	0.3896498096
79	0.3100857984	0.1403146711	0.865707677	0.3901228106
80	0.3100750975	0.1402429479	0.865160788	0.3895817693
81	0.3100666477	0.1403146711	0.8655071782	0.3900035699
82	0.3100539438	0.1403505327	0.8661885481	0.390582915
83	0.3100366149	0.1404401866	0.8662094674	0.3906318155
84	0.3100075038	0.1404581174	0.8664794253	0.3916313998
