iter	Passed	Remaining
0	55	111813
1	64	64925
2	73	48756
3	81	40829
4	90	35987
5	98	32741
6	106	30377
7	115	28682
8	123	27300
9	131	26208
10	140	25327
11	148	24561
12	156	23929
13	164	23361
14	173	22914
15	181	22516
16	190	22175
17	198	21845
18	206	21547
19	215	21345
20	225	21213
21	234	21107
22	245	21060
23	255	21025
24	264	20932
25	274	20876
26	284	20808
27	293	20688
28	301	20493
29	311	20433
30	320	20344
31	330	20295
32	339	20229
33	347	20110
34	355	19976
35	364	19886
36	374	19849
37	382	19751
38	390	19654
39	399	19565
40	408	19531
41	418	19490
42	426	19418
43	435	19359
44	443	19279
45	452	19213
46	460	19133
47	469	19074
48	477	19004
49	485	18932
50	493	18867
51	502	18831
52	510	18769
53	519	18703
54	526	18634
55	535	18575
56	543	18529
57	551	18472
58	559	18418
59	568	18375
60	576	18327
61	584	18276
62	592	18224
63	601	18192
64	609	18147
65	618	18116
66	626	18067
67	634	18024
68	642	17986
69	650	17946
70	659	17912
71	667	17883
72	676	17860
73	685	17840
74	694	17833
75	703	17819
76	713	17818
77	722	17801
78	731	17780
79	740	17770
80	749	17756
81	757	17721
82	766	17714
83	774	17677
84	783	17659
85	792	17627
86	800	17601
87	808	17572
88	817	17557
89	825	17527
90	835	17519
91	843	17486
92	851	17454
93	859	17429
94	868	17413
95	876	17381
96	884	17352
97	893	17334
98	901	17304
99	909	17280
100	917	17251
101	925	17220
102	933	17195
103	943	17196
104	951	17172
105	960	17160
106	968	17138
107	977	17132
108	986	17117
109	995	17099
110	1003	17075
111	1011	17055
112	1020	17042
113	1029	17033
114	1037	17010
115	1046	16993
116	1054	16974
117	1063	16958
118	1071	16936
119	1079	16915
120	1087	16892
121	1097	16894
122	1106	16878
123	1114	16864
124	1124	16861
125	1132	16838
126	1141	16827
127	1149	16807
128	1157	16788
129	1165	16766
130	1173	16740
131	1181	16726
132	1190	16713
133	1199	16709
134	1208	16689
135	1216	16672
136	1224	16655
137	1233	16640
138	1241	16618
139	1249	16600
140	1257	16581
141	1265	16564
142	1274	16547
143	1283	16539
144	1291	16520
145	1299	16501
146	1307	16481
147	1315	16459
148	1323	16444
149	1332	16428
150	1339	16408
151	1348	16392
152	1356	16374
153	1364	16357
154	1373	16352
155	1383	16358
156	1394	16364
157	1403	16360
158	1413	16367
159	1423	16371
160	1433	16370
161	1443	16380
162	1452	16367
163	1460	16348
164	1468	16331
165	1476	16309
166	1485	16308
167	1495	16306
168	1503	16289
169	1511	16274
170	1520	16258
171	1528	16239
172	1536	16226
173	1545	16219
174	1554	16206
175	1562	16196
176	1570	16179
177	1578	16162
178	1587	16147
179	1596	16139
180	1604	16124
181	1612	16110
182	1622	16106
183	1630	16092
184	1639	16083
185	1648	16073
186	1657	16068
187	1666	16060
188	1676	16061
189	1684	16049
190	1692	16034
191	1701	16019
192	1711	16023
193	1719	16010
194	1727	15993
195	1736	15979
196	1744	15962
197	1752	15945
198	1760	15932
199	1768	15917
200	1776	15903
201	1785	15890
202	1793	15875
203	1801	15860
204	1809	15846
205	1818	15836
206	1826	15822
207	1834	15806
208	1842	15793
209	1851	15777
210	1859	15763
211	1867	15750
212	1875	15737
213	1884	15723
214	1892	15712
215	1900	15696
216	1908	15682
217	1916	15668
218	1926	15664
219	1934	15653
220	1942	15637
221	1950	15622
222	1958	15606
223	1970	15626
224	1980	15627
225	1989	15616
226	1997	15602
227	2005	15589
228	2014	15576
229	2023	15571
230	2031	15556
231	2040	15547
232	2048	15537
233	2057	15527
234	2065	15515
235	2074	15508
236	2083	15496
237	2091	15483
238	2101	15481
239	2109	15468
240	2117	15455
241	2125	15443
242	2134	15430
243	2143	15422
244	2152	15416
245	2160	15405
246	2168	15389
247	2176	15377
248	2185	15365
249	2194	15358
250	2202	15345
251	2211	15338
252	2219	15325
253	2227	15312
254	2236	15304
255	2244	15290
256	2252	15275
257	2260	15261
258	2268	15248
259	2276	15234
260	2285	15225
261	2293	15212
262	2301	15198
263	2309	15186
264	2317	15173
265	2325	15159
266	2333	15145
267	2342	15137
268	2350	15123
269	2358	15110
270	2366	15097
271	2374	15087
272	2382	15074
273	2391	15063
274	2399	15053
275	2407	15041
276	2416	15028
277	2424	15017
278	2432	15005
279	2440	14993
280	2449	14981
281	2457	14974
282	2466	14962
283	2474	14951
284	2482	14940
285	2491	14929
286	2499	14920
287	2508	14911
288	2517	14902
289	2525	14891
290	2534	14884
291	2542	14871
292	2550	14861
293	2559	14850
294	2567	14838
295	2575	14827
296	2584	14816
297	2592	14808
298	2601	14798
299	2609	14787
300	2617	14775
301	2626	14767
302	2634	14756
303	2643	14746
304	2651	14734
305	2660	14729
306	2669	14719
307	2678	14711
308	2687	14705
309	2697	14704
310	2706	14698
311	2715	14692
312	2726	14694
313	2736	14691
314	2745	14684
315	2754	14678
316	2763	14669
317	2771	14657
318	2780	14651
319	2789	14645
320	2798	14636
321	2806	14627
322	2815	14615
323	2823	14606
324	2831	14594
325	2840	14586
326	2848	14575
327	2858	14570
328	2866	14561
329	2875	14549
330	2883	14537
331	2891	14525
332	2898	14511
333	2907	14502
334	2915	14488
335	2923	14477
336	2931	14467
337	2940	14456
338	2948	14446
339	2957	14438
340	2967	14436
341	2975	14425
342	2984	14416
343	2992	14407
344	3001	14397
345	3009	14385
346	3017	14373
347	3025	14361
348	3033	14352
349	3041	14340
350	3050	14329
351	3058	14317
352	3066	14307
353	3074	14296
354	3082	14284
355	3090	14273
356	3099	14264
357	3107	14253
358	3116	14246
359	3125	14237
360	3133	14228
361	3142	14220
362	3151	14211
363	3159	14202
364	3167	14190
365	3176	14181
366	3184	14170
367	3193	14160
368	3201	14151
369	3210	14141
370	3218	14131
371	3226	14121
372	3235	14111
373	3243	14100
374	3251	14089
375	3259	14077
376	3267	14066
377	3275	14055
378	3283	14043
379	3291	14033
380	3299	14022
381	3308	14012
382	3317	14005
383	3324	13992
384	3334	13986
385	3342	13976
386	3351	13967
387	3359	13957
388	3368	13950
389	3377	13941
390	3385	13930
391	3393	13918
392	3401	13908
393	3409	13898
394	3418	13890
395	3426	13879
396	3434	13867
397	3442	13856
398	3451	13848
399	3459	13838
400	3468	13830
401	3476	13820
402	3485	13810
403	3493	13799
404	3501	13787
405	3509	13777
406	3517	13768
407	3525	13757
408	3534	13747
409	3542	13737
410	3550	13727
411	3558	13717
412	3567	13707
413	3575	13697
414	3583	13686
415	3591	13675
416	3599	13665
417	3608	13655
418	3615	13643
419	3623	13632
420	3632	13622
421	3640	13612
422	3649	13605
423	3657	13594
424	3665	13583
425	3673	13573
426	3681	13563
427	3689	13551
428	3697	13540
429	3706	13532
430	3714	13522
431	3722	13511
432	3730	13500
433	3738	13490
434	3747	13481
435	3755	13471
436	3764	13464
437	3772	13455
438	3781	13445
439	3790	13439
440	3801	13437
441	3811	13436
442	3822	13433
443	3831	13428
444	3841	13423
445	3850	13417
446	3862	13418
447	3870	13408
448	3878	13397
449	3886	13387
450	3896	13382
451	3905	13375
452	3913	13364
453	3922	13355
454	3930	13345
455	3938	13336
456	3947	13326
457	3959	13330
458	3967	13321
459	3976	13311
460	3984	13302
461	3993	13295
462	4001	13284
463	4010	13277
464	4018	13266
465	4027	13258
466	4035	13247
467	4043	13235
468	4051	13225
469	4059	13214
470	4067	13203
471	4076	13196
472	4084	13184
473	4092	13175
474	4100	13164
475	4108	13153
476	4116	13143
477	4124	13132
478	4132	13122
479	4140	13112
480	4148	13101
481	4156	13091
482	4164	13081
483	4173	13072
484	4181	13060
485	4189	13051
486	4197	13041
487	4205	13030
488	4213	13020
489	4222	13010
490	4230	13000
491	4238	12990
492	4246	12981
493	4255	12972
494	4263	12962
495	4272	12953
496	4281	12947
497	4289	12937
