iter	Passed	Remaining
0	19	39405
1	24	24261
2	28	19236
3	33	16745
4	39	15635
5	44	14881
6	49	14047
7	54	13503
8	60	13309
9	64	12907
10	69	12642
11	82	13676
12	93	14243
13	99	14135
14	105	13995
15	112	13952
16	118	13872
17	125	13830
18	132	13779
19	137	13659
20	143	13509
21	148	13379
22	155	13347
23	160	13235
24	165	13051
25	169	12872
26	173	12708
27	179	12624
28	184	12527
29	188	12410
30	199	12663
31	207	12772
32	212	12685
33	220	12742
34	225	12676
35	230	12561
36	236	12533
37	241	12458
38	246	12411
39	251	12324
40	255	12223
41	261	12195
42	268	12219
43	273	12178
44	278	12117
45	284	12069
46	288	12007
47	293	11947
48	301	12014
49	306	11959
50	311	11908
51	317	11881
52	321	11817
53	326	11756
54	332	11757
55	338	11735
56	343	11692
57	347	11639
58	353	11622
59	358	11576
60	362	11530
61	367	11482
62	372	11459
63	377	11428
64	383	11406
65	387	11347
66	393	11366
67	398	11328
68	402	11271
69	407	11223
70	412	11212
71	418	11212
72	423	11191
73	428	11159
74	434	11144
75	438	11113
76	444	11097
77	449	11066
78	453	11022
79	458	10994
80	464	11010
81	469	10977
82	474	10947
83	479	10928
84	485	10933
85	490	10908
86	494	10881
87	501	10891
88	506	10870
89	510	10840
90	515	10824
91	520	10793
92	524	10761
93	529	10735
94	534	10716
95	539	10705
96	544	10683
97	548	10651
98	553	10634
99	559	10632
100	565	10638
101	571	10636
102	577	10627
103	581	10605
104	588	10612
105	594	10627
106	599	10600
107	603	10576
108	608	10562
109	613	10539
110	617	10508
111	622	10494
112	627	10474
113	632	10462
114	636	10440
115	643	10453
116	648	10440
117	654	10445
118	660	10438
119	666	10434
120	670	10413
121	676	10414
122	681	10399
123	686	10388
124	692	10392
125	698	10387
126	703	10378
127	708	10368
128	714	10357
129	718	10341
130	724	10341
131	730	10342
132	737	10346
133	741	10329
134	746	10312
135	752	10309
136	756	10285
137	764	10320
138	770	10314
139	775	10296
140	780	10288
141	785	10280
142	790	10266
143	795	10259
144	800	10243
145	806	10238
146	810	10217
147	814	10197
148	819	10177
149	824	10169
150	829	10154
151	834	10140
152	838	10126
153	844	10119
154	850	10120
155	854	10104
156	860	10106
157	865	10092
158	870	10078
159	876	10076
160	881	10064
161	885	10052
162	891	10049
163	897	10046
164	903	10043
165	907	10031
166	912	10019
167	917	10007
168	922	9998
169	927	9985
170	932	9973
171	937	9963
172	942	9948
173	948	9948
174	953	9942
175	958	9928
176	963	9922
177	971	9941
178	976	9936
179	983	9945
180	989	9942
181	995	9941
182	1001	9942
183	1009	9960
184	1014	9957
185	1019	9946
186	1024	9937
187	1030	9931
188	1035	9923
189	1040	9910
190	1045	9899
191	1051	9901
192	1056	9890
193	1061	9885
194	1066	9873
195	1071	9862
196	1075	9845
197	1080	9834
198	1085	9824
199	1091	9826
200	1097	9818
201	1101	9807
202	1108	9808
203	1112	9797
204	1117	9783
205	1121	9771
206	1126	9761
207	1132	9760
208	1138	9753
209	1145	9760
210	1149	9746
211	1154	9733
212	1159	9727
213	1164	9719
214	1168	9703
215	1175	9709
216	1180	9698
217	1185	9691
218	1191	9685
219	1196	9681
