iter	Passed	Remaining
0	23	46906
1	41	41860
2	58	38783
3	75	37587
4	92	36921
5	109	36425
6	127	36277
7	145	36124
8	166	36770
9	183	36483
10	201	36436
11	220	36502
12	237	36367
13	255	36297
14	285	37830
15	316	39302
16	346	40417
17	365	40229
18	384	40118
19	411	40783
20	433	40805
21	450	40548
22	468	40308
23	487	40107
24	505	39940
25	523	39748
26	542	39631
27	560	39475
28	581	39545
29	599	39342
30	616	39138
31	635	39057
32	653	38927
33	671	38805
34	688	38648
35	705	38467
36	722	38334
37	740	38207
38	757	38084
39	776	38044
40	793	37923
41	811	37818
42	827	37675
43	845	37603
44	863	37535
45	881	37435
46	897	37291
47	916	37259
48	933	37179
49	951	37116
50	969	37066
51	989	37083
52	1013	37231
53	1032	37196
54	1049	37122
55	1066	37016
56	1084	36957
57	1102	36900
58	1118	36796
59	1137	36768
60	1153	36672
61	1171	36607
62	1188	36551
63	1206	36500
64	1224	36463
65	1244	36461
66	1261	36388
67	1278	36330
68	1299	36355
69	1319	36391
70	1338	36352
71	1355	36291
72	1373	36266
73	1390	36191
74	1409	36175
75	1428	36165
76	1447	36155
77	1467	36150
78	1485	36110
79	1503	36073
80	1522	36067
81	1542	36073
82	1562	36091
83	1585	36166
84	1606	36196
85	1625	36178
86	1641	36103
87	1658	36037
88	1674	35947
89	1693	35938
90	1720	36097
91	1747	36244
92	1772	36339
93	1794	36387
94	1813	36372
95	1832	36335
96	1851	36322
97	1869	36290
98	1885	36211
99	1903	36168
100	1920	36110
101	1938	36062
102	1955	36008
103	1972	35953
104	1989	35903
105	2007	35872
106	2024	35822
107	2040	35749
108	2057	35699
109	2073	35632
110	2091	35600
111	2108	35535
112	2124	35473
113	2140	35418
114	2156	35355
115	2172	35281
116	2189	35244
117	2207	35206
118	2223	35146
119	2239	35091
120	2256	35033
121	2272	34976
122	2288	34929
123	2304	34870
124	2321	34827
125	2337	34770
126	2355	34740
127	2372	34694
128	2391	34688
129	2408	34650
130	2426	34614
131	2443	34577
132	2459	34528
133	2476	34480
134	2491	34426
135	2507	34373
136	2524	34330
137	2540	34282
138	2557	34237
139	2573	34194
140	2589	34147
141	2605	34097
142	2624	34075
143	2639	34022
144	2656	33987
145	2672	33934
146	2688	33888
147	2705	33849
148	2721	33810
149	2737	33763
150	2754	33727
151	2770	33686
152	2787	33645
153	2804	33614
154	2822	33594
155	2839	33558
156	2855	33518
157	2870	33470
158	2886	33423
159	2902	33377
160	2918	33332
161	2936	33319
162	2954	33292
163	2973	33292
164	2990	33261
165	3008	33234
166	3025	33210
167	3041	33170
168	3057	33130
169	3074	33092
170	3089	33046
171	3117	33135
172	3143	33192
173	3168	33255
174	3188	33248
175	3207	33241
176	3228	33250
177	3244	33211
178	3261	33184
179	3280	33170
180	3298	33145
181	3313	33101
182	3329	33063
183	3347	33038
184	3365	33020
185	3382	32983
186	3399	32958
187	3415	32923
188	3433	32896
189	3450	32871
190	3468	32852
191	3486	32828
192	3502	32788
193	3518	32752
194	3535	32721
195	3550	32682
196	3566	32640
197	3582	32608
198	3600	32582
199	3616	32544
200	3631	32503
201	3647	32465
202	3664	32435
203	3680	32404
204	3698	32383
205	3714	32350
206	3732	32329
207	3750	32312
208	3767	32282
209	3784	32256
210	3801	32233
211	3817	32197
212	3834	32173
213	3853	32159
214	3869	32128
215	3886	32096
216	3902	32066
217	3919	32038
218	3938	32032
219	3955	32005
220	3973	31989
221	3993	31985
222	4010	31956
223	4027	31934
224	4045	31913
225	4060	31875
226	4076	31841
227	4093	31816
228	4110	31787
229	4128	31773
230	4144	31740
