iter	AverageGain:top=10
0	0.1257728027
1	0.130632046
2	0.1303630842
3	0.1328733944
4	0.1328016713
5	0.1327658097
6	0.1334651104
7	0.133411318
8	0.1335906259
9	0.1341106187
10	0.1342182034
11	0.1342002727
12	0.1348637118
13	0.1348995734
14	0.1350430197
15	0.1350788812
16	0.135096812
17	0.1350071581
18	0.1350250889
19	0.1348995734
20	0.1350071581
21	0.1351326736
22	0.1350609504
23	0.1351147428
24	0.1351147428
25	0.1351506044
26	0.1352581891
27	0.1355092201
28	0.1355988741
29	0.1356526664
30	0.1355988741
31	0.1356347356
32	0.1356168048
33	0.1359933514
34	0.1360650745
35	0.1364416211
36	0.1364595518
37	0.1364416211
38	0.1364774826
39	0.1366747213
40	0.1367105829
41	0.1367285137
42	0.1369616139
43	0.1368540292
44	0.1368360984
45	0.1369257523
46	0.1368898907
47	0.1369257523
48	0.1369795447
49	0.1369616139
50	0.1369616139
51	0.1371767833
52	0.1371767833
53	0.1371409218
54	0.137122991
55	0.1371588525
56	0.1371588525
57	0.1371947141
58	0.1372305757
59	0.1371947141
60	0.1374278144
61	0.1374098836
62	0.1374636759
63	0.1374457451
64	0.1374457451
65	0.1373381604
66	0.1374278144
67	0.1374457451
68	0.1375174683
69	0.1374816067
70	0.137625053
71	0.1376071222
72	0.1375712606
73	0.1375712606
74	0.1376429838
75	0.1376967762
76	0.1376609146
77	0.1377147069
78	0.1379119456
79	0.1379836688
80	0.1379119456
81	0.1379298764
82	0.1379836688
83	0.1380195303
84	0.1379836688
85	0.137965738
86	0.1380015995
87	0.1379836688
88	0.1381271151
89	0.1381091843
90	0.1380733227
91	0.1381629766
92	0.1381271151
93	0.1381988382
94	0.138216769
95	0.1381988382
96	0.1381988382
97	0.138216769
98	0.1382705613
99	0.1382526306
100	0.1382705613
101	0.1382346998
102	0.1382705613
103	0.1382346998
104	0.1383064229
105	0.1383064229
106	0.1382526306
107	0.1383422845
108	0.1383781461
109	0.1383781461
110	0.1385036616
111	0.1384678
112	0.1384498692
113	0.1384498692
114	0.1385215924
115	0.1385215924
116	0.1385395232
117	0.1385574539
118	0.1384857308
119	0.1385036616
120	0.1385215924
121	0.1385395232
122	0.1384678
123	0.1385036616
124	0.1384857308
125	0.1385036616
126	0.1385215924
127	0.1386291771
