iter	Passed	Remaining
0	35	70711
1	70	70820
2	108	72532
3	142	71215
4	178	71213
5	218	72479
6	253	72288
7	289	71993
8	325	72114
9	363	72358
10	399	72187
11	433	71822
12	470	71912
13	505	71711
14	541	71670
15	577	71600
16	612	71408
17	648	71367
18	683	71219
19	719	71204
20	754	71098
21	800	72014
22	863	74260
23	898	73975
24	943	74510
25	983	74649
26	1021	74625
27	1062	74847
28	1097	74604
29	1134	74514
30	1170	74368
31	1206	74214
32	1241	73990
33	1283	74198
34	1322	74250
35	1358	74109
36	1399	74264
37	1435	74121
38	1470	73922
39	1505	73768
40	1540	73591
41	1573	73359
42	1606	73131
43	1638	72852
44	1672	72676
45	1707	72538
46	1742	72403
47	1775	72200
48	1807	71983
49	1839	71745
50	1873	71593
51	1907	71443
52	1946	71496
53	1986	71605
54	2024	71596
55	2061	71576
56	2096	71480
57	2132	71417
58	2169	71374
59	2207	71381
60	2243	71323
61	2281	71306
62	2355	72430
63	2400	72623
64	2444	72769
65	2480	72696
66	2518	72665
67	2557	72653
68	2599	72734
69	2636	72686
70	2672	72606
71	2711	72616
72	2746	72495
73	2784	72461
74	2819	72357
75	2856	72302
76	2889	72174
77	2925	72083
78	2960	71998
79	2996	71912
80	3033	71871
81	3072	71863
82	3107	71764
83	3143	71706
84	3179	71641
85	3215	71564
86	3255	71581
87	3296	71613
88	3334	71595
89	3373	71595
90	3416	71666
91	3459	71756
92	3498	71731
93	3539	71776
94	3576	71719
95	3619	71786
96	3659	71803
97	3699	71807
98	3756	72140
99	3826	72702
100	3867	72711
101	3906	72694
102	3964	73019
103	4011	73125
104	4058	73246
105	4101	73290
106	4148	73389
107	4196	73516
108	4229	73383
109	4264	73278
110	4298	73151
111	4331	73022
112	4367	72929
113	4403	72845
114	4435	72697
115	4468	72580
116	4501	72453
117	4535	72336
118	4568	72219
119	4601	72092
120	4635	71983
121	4668	71869
122	4701	71747
123	4734	71620
124	4767	71517
125	4800	71396
126	4833	71287
127	4866	71173
128	4902	71099
129	4934	70985
130	4968	70885
131	5001	70784
132	5036	70700
133	5068	70575
134	5100	70463
135	5133	70362
136	5187	70545
137	5243	70748
138	5275	70628
139	5320	70690
140	5357	70629
141	5399	70654
142	5450	70780
143	5485	70701
144	5517	70580
145	5550	70480
146	5584	70399
147	5616	70285
148	5648	70172
149	5680	70064
150	5714	69972
151	5745	69854
152	5778	69754
153	5811	69664
154	5846	69586
155	5878	69492
156	5913	69417
157	5947	69337
158	5983	69282
159	6016	69184
160	6052	69136
161	6085	69040
162	6118	68959
163	6151	68865
164	6185	68793
165	6218	68700
166	6251	68613
167	6286	68549
168	6319	68465
169	6353	68391
170	6387	68322
171	6423	68270
172	6457	68199
173	6491	68121
174	6533	68130
175	6599	68397
176	6635	68342
177	6674	68324
178	6708	68245
179	6744	68198
180	6780	68141
181	6814	68065
182	6849	68011
183	6882	67924
184	6915	67845
185	6948	67767
186	6984	67715
187	7020	67665
188	7053	67584
189	7087	67517
190	7120	67436
191	7152	67350
192	7187	67293
193	7219	67212
194	7252	67136
195	7286	67064
196	7321	67012
197	7355	66939
198	7388	66868
199	7421	66791
200	7454	66717
201	7487	66645
202	7521	66581
203	7559	66549
204	7592	66478
205	7625	66412
206	7659	66341
207	7691	66268
208	7726	66210
209	7759	66143
210	7792	66072
211	7826	66007
212	7859	65937
213	7917	66080
214	7970	66171
215	8000	66081
216	8040	66066
217	8074	66006
218	8111	65965
219	8146	65912
220	8179	65844
221	8213	65781
222	8248	65725
223	8281	65659
224	8314	65590
225	8347	65522
226	8380	65452
227	8413	65388
228	8449	65343
229	8481	65270
230	8514	65201
231	8547	65138
232	8579	65065
233	8613	65004
234	8646	64938
235	8680	64886
236	8712	64813
237	8745	64744
238	8778	64683
239	8809	64603
240	8843	64546
241	8877	64488
242	8911	64432
243	8944	64372
244	8981	64334
245	9015	64284
246	9048	64220
247	9081	64157
248	9116	64109
249	9150	64054
250	9183	63990
251	9215	63924
252	9263	63963
253	9321	64078
254	9353	64007
255	9396	64013
256	9430	63961
257	9463	63899
258	9498	63850
259	9531	63788
260	9563	63723
261	9596	63660
262	9630	63602
263	9663	63547
264	9699	63501
265	9732	63443
266	9767	63399
267	9807	63380
268	9838	63310
269	9872	63257
270	9908	63214
271	9940	63152
272	9977	63118
273	10011	63066
274	10044	63004
275	10076	62941
276	10110	62886
277	10142	62822
278	10174	62763
279	10205	62691
280	10237	62626
281	10271	62576
282	10306	62528
283	10339	62473
284	10372	62417
285	10411	62398
286	10443	62332
287	10478	62288
288	10509	62222
289	10542	62164
290	10574	62103
291	10619	62115
292	10678	62213
293	10714	62171
294	10745	62107
295	10786	62096
296	10821	62049
297	10856	62003
298	10892	61965
299	10927	61924
300	10963	61881
301	10997	61832
302	11029	61772
303	11061	61710
304	11092	61644
305	11126	61597
306	11160	61547
307	11194	61494
308	11226	61438
309	11259	61384
310	11294	61338
311	11327	61286
312	11360	61230
313	11396	61190
314	11429	61140
315	11462	61086
316	11494	61028
317	11528	60977
318	11561	60922
319	11595	60877
320	11631	60837
321	11665	60790
322	11697	60731
323	11732	60689
324	11764	60632
325	11799	60590
326	11832	60536
327	11865	60486
328	11900	60440
329	11932	60385
330	11991	60466
331	12041	60498
332	12073	60439
333	12114	60429
334	12149	60386
335	12185	60349
336	12220	60306
337	12254	60255
338	12288	60209
339	12321	60159
340	12356	60114
341	12388	60060
342	12424	60022
343	12456	59963
344	12491	59923
345	12524	59871
346	12558	59824
347	12593	59781
348	12627	59735
349	12659	59682
350	12693	59634
351	12725	59579
352	12758	59527
353	12791	59477
354	12826	59436
355	12861	59392
356	12895	59346
357	12929	59301
358	12963	59256
359	12997	59209
360	13028	59153
361	13061	59101
362	13095	59056
363	13127	59002
364	13160	58951
365	13192	58898
366	13226	58850
367	13259	58801
368	13295	58766
369	13353	58829
370	13397	58828
371	13432	58783
372	13471	58763
373	13506	58719
374	13539	58671
375	13573	58626
376	13606	58576
377	13638	58524
378	13672	58476
379	13706	58432
380	13738	58380
381	13770	58327
382	13803	58278
383	13837	58231
384	13870	58183
385	13903	58136
386	13937	58089
387	13970	58041
388	14006	58005
389	14038	57954
390	14073	57912
391	14106	57865
392	14140	57822
393	14176	57786
394	14210	57743
395	14242	57690
396	14276	57646
397	14311	57605
398	14346	57564
399	14380	57520
400	14414	57479
401	14448	57436
402	14485	57401
403	14520	57364
404	14557	57331
405	14594	57298
406	14627	57251
407	14660	57204
408	14695	57167
409	14729	57120
410	14763	57079
411	14797	57033
412	14841	57028
413	14905	57100
414	14943	57071
415	14978	57033
416	15017	57008
417	15051	56965
418	15083	56913
419	15116	56867
420	15153	56834
421	15186	56787
422	15220	56743
423	15254	56699
424	15286	56650
425	15321	56612
426	15355	56567
427	15389	56524
428	15424	56486
429	15459	56445
430	15496	56414
431	15531	56371
432	15564	56327
433	15597	56280
434	15632	56241
435	15668	56205
436	15700	56154
437	15735	56117
438	15769	56072
439	15806	56041
440	15840	55999
441	15875	55960
442	15907	55910
443	15940	55862
444	15982	55847
445	16016	55806
446	16049	55759
447	16083	55718
448	16117	55674
449	16152	55635
450	16185	55589
451	16220	55551
452	16276	55585
453	16328	55602
454	16362	55560
455	16401	55533
456	16441	55513
457	16477	55476
458	16511	55433
459	16548	55400
460	16581	55354
461	16620	55330
462	16655	55290
463	16689	55247
464	16724	55209
465	16757	55161
466	16790	55116
467	16827	55086
468	16867	55061
469	16903	55024
470	16940	54992
471	16976	54959
472	17014	54927
473	17054	54904
474	17092	54875
475	17129	54843
476	17167	54812
477	17206	54786
478	17243	54754
479	17276	54708
480	17308	54661
481	17343	54621
482	17377	54579
483	17412	54539
484	17444	54491
485	17478	54450
486	17510	54400
487	17544	54359
488	17578	54317
489	17611	54272
490	17646	54232
491	17681	54195
492	17717	54159
493	17755	54127
494	17814	54164
495	17856	54144
496	17887	54094
497	17927	54069
498	17961	54027
499	17998	53995
500	18034	53959
501	18066	53912
502	18100	53869
503	18132	53823
504	18165	53776
505	18197	53729
506	18231	53687
507	18264	53643
508	18298	53601
509	18332	53558
510	18364	53511
511	18396	53465
512	18432	53429
513	18466	53387
514	18500	53344
515	18535	53306
516	18569	53266
517	18609	53242
518	18648	53215
519	18688	53189
520	18730	53172
521	18770	53147
522	18810	53122
523	18853	53105
524	18891	53075
525	18929	53045
526	18972	53029
527	19019	53024
528	19059	52999
529	19104	52988
530	19150	52978
531	19191	52955
532	19247	52976
533	19296	52976
534	19334	52943
535	19373	52916
536	19415	52896
537	19457	52875
538	19499	52854
539	19535	52818
540	19572	52785
541	19613	52761
542	19656	52744
543	19695	52713
544	19731	52677
545	19807	52748
546	19863	52763
547	19916	52771
548	19964	52766
549	20009	52751
550	20053	52736
551	20096	52717
552	20140	52701
553	20180	52672
554	20223	52655
555	20264	52630
556	20308	52613
557	20351	52592
558	20387	52556
559	20428	52529
560	20468	52504
561	20503	52463
562	20538	52422
563	20580	52400
564	20619	52368
565	20657	52338
566	20693	52298
567	20730	52264
568	20764	52222
569	20800	52184
570	20837	52147
571	20872	52109
572	20909	52072
573	20943	52029
574	20982	51999
575	21035	52005
576	21074	51974
577	21112	51940
578	21153	51914
579	21197	51896
580	21234	51861
581	21274	51833
582	21314	51805
583	21353	51773
584	21394	51748
585	21433	51718
586	21480	51705
587	21523	51686
588	21573	51680
589	21649	51738
590	21686	51702
591	21724	51668
592	21770	51654
593	21812	51631
594	21854	51606
595	21892	51572
596	21931	51540
597	21967	51501
598	22004	51466
599	22050	51451
600	22096	51436
601	22141	51418
602	22184	51396
603	22227	51374
604	22271	51353
605	22309	51319
606	22350	51292
607	22392	51267
608	22433	51240
609	22478	51220
610	22516	51186
611	22556	51157
612	22593	51121
613	22637	51099
614	22680	51077
615	22720	51048
616	22763	51023
617	22801	50989
618	22838	50953
619	22878	50922
620	22915	50886
621	22957	50860
622	22995	50826
623	23044	50815
624	23088	50795
625	23164	50843
626	23228	50865
627	23297	50898
628	23343	50880
629	23389	50863
630	23435	50845
631	23472	50807
632	23507	50766
633	23542	50723
634	23576	50681
635	23613	50643
636	23649	50603
637	23685	50562
638	23720	50521
639	23766	50503
640	23832	50526
641	23873	50499
642	23923	50488
643	23962	50456
644	24001	50422
645	24043	50395
646	24079	50354
647	24115	50315
648	24156	50285
649	24189	50240
650	24222	50193
651	24258	50153
652	24298	50122
653	24337	50089
654	24379	50062
655	24417	50026
656	24456	49991
657	24506	49981
658	24548	49954
659	24586	49917
660	24620	49873
661	24657	49835
662	24691	49793
663	24726	49750
664	24759	49704
665	24798	49672
666	24840	49643
667	24880	49612
668	24923	49586
669	24958	49544
670	24996	49508
671	25037	49478
672	25070	49433
673	25104	49390
674	25142	49352
675	25177	49312
676	25214	49275
677	25251	49235
678	25288	49199
679	25329	49169
680	25367	49133
681	25408	49102
682	25446	49068
683	25498	49058
684	25578	49103
685	25616	49067
686	25670	49061
687	25709	49028
688	25752	49000
689	25794	48971
690	25835	48942
691	25871	48901
692	25908	48864
693	25944	48824
694	25981	48784
695	26020	48750
696	26064	48726
697	26102	48689
698	26139	48651
699	26178	48616
700	26218	48583
701	26256	48547
702	26295	48513
703	26333	48477
704	26373	48445
705	26411	48408
706	26451	48375
707	26493	48346
708	26539	48325
709	26581	48295
710	26622	48265
711	26670	48246
712	26717	48225
713	26758	48195
714	26805	48174
715	26848	48146
716	26889	48115
717	26931	48086
718	26973	48057
719	27052	48093
720	27119	48108
721	27175	48103
722	27214	48067
723	27271	48063
724	27331	48066
725	27367	48025
726	27406	47989
727	27444	47951
728	27479	47909
729	27516	47871
730	27552	47830
731	27587	47788
732	27626	47752
733	27663	47714
734	27702	47677
735	27736	47634
736	27774	47597
737	27812	47560
738	27851	47524
739	27889	47487
740	27928	47451
741	27973	47427
742	28011	47389
743	28051	47356
744	28088	47317
745	28123	47274
746	28162	47239
747	28207	47213
748	28248	47182
749	28287	47146
750	28327	47112
751	28364	47072
752	28399	47030
753	28435	46990
754	28470	46948
755	28507	46908
756	28547	46874
757	28623	46901
758	28666	46870
759	28710	46842
760	28748	46806
761	28789	46773
762	28827	46736
763	28865	46698
764	28901	46657
765	28939	46620
766	28975	46579
767	29014	46543
768	29060	46519
769	29098	46481
770	29135	46442
771	29174	46407
772	29213	46371
773	29252	46335
774	29291	46299
775	29330	46264
776	29367	46224
777	29405	46186
778	29440	46145
779	29478	46107
780	29516	46069
781	29551	46028
782	29585	45984
783	29621	45944
784	29657	45902
785	29691	45859
786	29729	45821
787	29763	45777
788	29799	45738
789	29836	45699
790	29872	45657
791	29909	45620
792	29951	45588
793	29990	45552
794	30026	45511
795	30070	45482
796	30106	45443
797	30140	45400
798	30186	45373
799	30246	45369
800	30292	45344
801	30333	45310
802	30371	45273
803	30409	45235
804	30446	45196
805	30483	45158
806	30521	45120
807	30558	45080
808	30602	45052
809	30643	45020
810	30682	44982
811	30723	44949
812	30764	44917
813	30807	44886
814	30851	44857
815	30894	44827
816	30936	44795
817	30973	44756
818	31014	44722
819	31062	44699
820	31103	44666
821	31140	44627
822	31181	44593
823	31218	44554
824	31258	44519
825	31300	44487
826	31342	44455
827	31383	44421
828	31429	44395
829	31471	44363
830	31516	44335
831	31555	44299
832	31593	44260
833	31631	44223
834	31672	44190
835	31709	44150
836	31748	44113
837	31789	44080
838	31825	44039
839	31862	44000
840	31897	43958
841	31930	43914
842	31965	43871
843	31999	43828
844	32032	43783
845	32075	43753
846	32108	43708
847	32142	43665
848	32177	43623
849	32211	43580
850	32246	43538
851	32281	43496
852	32317	43456
853	32351	43413
854	32384	43369
855	32424	43334
856	32496	43341
857	32534	43303
858	32570	43262
859	32610	43227
860	32647	43188
861	32682	43147
862	32717	43105
863	32750	43061
864	32783	43016
865	32816	42971
866	32849	42927
867	32883	42885
868	32920	42845
869	32953	42801
870	32987	42758
871	33020	42715
872	33055	42672
873	33098	42641
874	33131	42597
875	33167	42556
876	33200	42513
877	33234	42469
878	33268	42427
879	33303	42385
880	33338	42345
881	33371	42300
882	33403	42256
883	33439	42215
884	33476	42176
885	33512	42135
886	33545	42092
887	33580	42050
888	33616	42010
889	33652	41971
890	33686	41929
891	33720	41885
892	33752	41840
893	33785	41796
894	33818	41754
895	33853	41712
896	33885	41667
897	33919	41624
898	33951	41580
899	33985	41537
900	34018	41494
901	34053	41452
902	34097	41423
903	34132	41381
904	34165	41338
905	34200	41297
906	34233	41254
907	34271	41216
908	34307	41176
909	34342	41135
910	34378	41096
911	34413	41055
912	34449	41015
913	34484	40974
914	34517	40930
915	34550	40887
916	34582	40843
917	34616	40800
918	34651	40759
919	34686	40718
920	34722	40679
921	34754	40634
922	34788	40592
923	34824	40552
924	34856	40508
925	34887	40463
926	34955	40460
927	34996	40426
928	35032	40387
929	35072	40352
930	35118	40324
931	35161	40292
932	35201	40257
933	35241	40222
934	35278	40183
935	35315	40144
936	35351	40105
937	35385	40063
938	35421	40023
939	35458	39985
940	35493	39944
941	35528	39903
942	35562	39861
943	35596	39819
944	35631	39778
945	35665	39737
946	35698	39694
947	35733	39653
948	35766	39610
949	35797	39565
950	35832	39524
951	35867	39484
952	35901	39442
953	35936	39402
954	35972	39362
955	36005	39319
956	36039	39278
957	36076	39240
958	36119	39208
959	36153	39165
960	36187	39124
961	36222	39084
962	36260	39046
963	36297	39008
964	36332	38967
965	36367	38927
966	36400	38885
967	36437	38846
968	36469	38803
969	36502	38760
970	36536	38718
971	36569	38676
972	36604	38635
973	36642	38598
974	36675	38556
975	36709	38515
976	36745	38475
977	36779	38434
978	36813	38392
979	36851	38355
980	36916	38346
981	36960	38315
982	36994	38273
983	37034	38238
984	37070	38199
985	37131	38185
986	37170	38149
987	37204	38108
988	37238	38066
989	37277	38030
990	37314	37992
991	37349	37951
992	37385	37912
993	37420	37871
994	37454	37830
995	37490	37791
996	37526	37752
997	37561	37712
998	37597	37672
999	37633	37633
1000	37666	37591
1001	37702	37551
1002	37737	37511
1003	37772	37471
1004	37807	37430
1005	37842	37390
1006	37876	37349
1007	37910	37308
1008	37945	37268
1009	37981	37229
1010	38014	37187
1011	38049	37146
1012	38083	37105
1013	38126	37073
1014	38160	37033
1015	38194	36991
1016	38231	36953
1017	38264	36911
1018	38300	36872
1019	38333	36830
1020	38368	36790
1021	38402	36749
1022	38439	36710
1023	38473	36670
1024	38509	36630
1025	38545	36591
1026	38578	36550
1027	38613	36510
1028	38649	36470
1029	38682	36429
1030	38717	36389
1031	38753	36349
1032	38789	36311
1033	38823	36270
1034	38855	36227
1035	38889	36187
1036	38923	36146
1037	38956	36104
1038	38988	36061
1039	39021	36020
1040	39057	35980
1041	39105	35953
1042	39519	36260
1043	39555	36221
1044	39589	36179
1045	39622	36137
1046	39657	36096
1047	39693	36057
1048	39726	36015
1049	39760	35973
1050	39795	35933
1051	39831	35893
1052	39865	35852
1053	39898	35810
1054	39933	35770
1055	39967	35728
1056	40001	35686
1057	40037	35647
1058	40071	35606
1059	40103	35563
1060	40136	35521
1061	40170	35480
1062	40204	35438
1063	40241	35400
1064	40273	35357
1065	40310	35318
1066	40344	35278
1067	40420	35273
1068	40461	35238
1069	40507	35207
1070	40545	35169
1071	40579	35128
1072	40614	35088
1073	40649	35048
1074	40685	35008
1075	40718	34966
1076	40752	34925
1077	40787	34885
1078	40822	34844
1079	40858	34805
1080	40891	34763
1081	40926	34722
1082	40962	34683
1083	41001	34647
1084	41039	34608
1085	41075	34569
1086	41109	34529
1087	41143	34488
1088	41179	34448
1089	41212	34407
1090	41247	34366
1091	41282	34326
1092	41316	34285
1093	41351	34245
1094	41384	34203
1095	41417	34162
1096	41451	34120
1097	41483	34078
1098	41524	34043
1099	41559	34003
1100	41597	33965
1101	41633	33926
1102	41670	33887
1103	41703	33846
1104	41738	33806
1105	41773	33766
1106	41807	33725
1107	41840	33684
1108	41874	33642
1109	41908	33602
1110	41970	33583
1111	42015	33552
1112	42048	33510
1113	42092	33477
1114	42129	33439
1115	42163	33398
1116	42195	33356
1117	42232	33317
1118	42269	33279
1119	42305	33239
1120	42339	33198
1121	42374	33159
1122	42406	33117
1123	42443	33079
1124	42480	33040
1125	42513	32999
1126	42559	32967
1127	42592	32926
1128	42628	32886
1129	42663	32846
1130	42699	32807
1131	42734	32768
1132	42770	32728
1133	42804	32688
1134	42840	32649
1135	42875	32609
1136	42908	32568
1137	42944	32529
1138	42998	32503
1139	43036	32465
1140	43069	32425
1141	43102	32383
1142	43136	32342
1143	43169	32301
1144	43206	32263
1145	43238	32221
1146	43269	32178
