accountsservice 23.13.9-2.1
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
alacritty 0.16.1-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.14-1.1
anki-bin 25.09.2-1
ark 25.12.0-1.1
audacity 1:3.7.7-1
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bash-completion 2.17.0-1
biber 1:2.21-3
bind 9.20.17-1.1
blueman 2.4.6-1.1
bluez 5.85-1.1
bluez-hid2hci 5.85-1.1
bluez-libs 5.85-1.1
bluez-utils 5.85-1.1
brightnessctl 0.5.1-3
btop 1.4.5-1.1
btrfs-assistant 2.2-4.1
btrfs-progs 6.17.1-1
cachyos-gaming-meta 1:1.0.0-5
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.19.1-2
cachyos-hooks 2025.09.22-1
cachyos-kernel-manager 1.16.1-1.1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-packageinstaller 1.5.1-2
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 18-1
cachyos-settings 1:1.2.12-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r17.022d739-1
cachyos-zsh-config 1.0.2-1
cantarell-fonts 1:0.303.1-2
cava 0.10.6-1.1
chwd 1.16.2-1
composer 2.9.2-1
cpupower 6.17-3
cryptsetup 2.8.1-1.1
device-mapper 2.03.38-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2.1
dmidecode 3.6-1.10
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.91-1.1
dolphin 25.12.0-1.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.3-2.1
efibootmgr 18-3.1
efitools 1.9.2-6.1
egl-wayland 4:1.1.21-1.1
emacs 30.2-1
ethtool 1:6.15-1.1
exfatprogs 1.3.1-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.56.0-1.1
ffmpegthumbnailer 2.3.0-1.1
firefox 146.0-1.1
fsarchiver 0.8.8-1.1
git 2.52.0-2.1
github-cli 2.83.2-1.1
glances 4.4.1-2
gnu-free-fonts 20120503-8
go 2:1.25.5-2
grub 2:2.14rc1.r54.g29f3131a-2
grub-btrfs-support 1.0.0-2
grub-hook 2.1-1
gst-libav 1.26.9-1
gst-plugin-pipewire 1:1.4.9-2.1
gst-plugin-va 1.26.9-1
gst-plugins-bad 1.26.9-1
gst-plugins-ugly 1.26.9-1
haveged 1.9.19-1.1
hdparm 9.65-3.1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2.1
hypridle 0.1.7-6.1
hyprland 0.52.2-2
hyprlock 0.9.2-7.1
hyprpaper 0.7.6-4.1
hyprshot 1.3.0-4
icu76 76.1-1
inetutils 2.6-1
intel-media-driver 25.3.4-1.1
intel-media-sdk 23.2.2-5
intel-ucode 20251111-1
iptables-nft 1:1.8.11-2.1
iwd 3.10-1.1
jdk-openjdk 25.0.1.u8-2
jellyfin-media-player 1.12.0-5
jfsutils 1.1.15-9.1
julia 2:1.12.3-1
jupyterlab 4.5.1-1
kdeconnect 25.12.0-1.1
kitty 0.44.0-1.1
lazygit 0.57.0-1.1
less 1:685-1.1
lib32-mesa 1:25.3.1-3
lib32-nvidia-utils 580.119.02-2
lib32-opencl-nvidia 580.119.02-2
lib32-vulkan-intel 1:25.3.1-3
libdvdcss 1.5.0-1.1
libgsf 1.14.54-1.1
libopenraw 0.3.7-2.1
libva-nvidia-driver 0.0.14-1.1
libwnck3 43.3-1.2
linux-cachyos 6.18.1-2
linux-cachyos-headers 6.18.1-2
linux-cachyos-lts 6.12.62-2
linux-cachyos-lts-headers 6.12.62-2
linux-cachyos-lts-nvidia 6.12.62-2
linux-cachyos-nvidia 6.18.1-2
linux-firmware 1:20251125-2
localsend 1.17.0-2
logrotate 3.22.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2.2
lua-language-server 3.16.1-1.1
lvm2 2.03.38-1.1
man-db 2.13.1-1.1
man-pages 6.16-1
materia-gtk-theme 20210322-3
mdadm 4.4-2
meld 3.22.3-1
mesa-utils 9.0.0-7.1
micro 2.0.14-1.1
mirage 0.11.2-1
mkinitcpio 40-3
modemmanager 1.24.2-1.1
mpd 0.24.6-2.1
mtools 1:4.0.49-1.1
nano 8.7-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncspot 1.3.2-1.1
neovim 0.11.5-1.1
netctl 1.29-2
networkmanager 1.54.3-1
networkmanager-openvpn 1.12.4-1.1
newaita-icons-git r929.c2b596b09-1
nfs-utils 2.8.4-1.1
nilfs-utils 2.2.12-1.1
noto-color-emoji-fontconfig 1.0.0-2
noto-fonts 1:2025.12.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.6.4-1
nss-mdns 0.15.1-2.1
ntp 4.2.8.p18-6
nvidia-prime 1.0-5
nvidia-settings 580.119.02-1.1
nvidia-utils 580.119.02-2
nwg-look 1.0.6-1.1
obsidian 1.10.6-1
octopi 0.18.1-2
onlyoffice-bin 9.2.0-1
opencl-nvidia 580.119.02-2
openssh 10.2p1-2.1
os-prober 1.83-1.1
pacman-contrib 1.13.1-1.2
paru 2.1.0-2
pavucontrol 1:6.2-1.1
perl 5.42.0-1.1
perl-file-homedir 1.006-8
perl-image-exiftool 13.44-1
perl-yaml-tiny 1.76-3
php 8.5.1-2
pipewire-alsa 1:1.4.9-2.1
pipewire-pulse 1:1.4.9-2.1
pkgfile 25-1.1
playerctl 2.4.1-5.1
plocate 1.1.23-1.1
plymouth 24.004.60-14.1
polkit-kde-agent 6.5.4-1.1
poppler-glib 25.12.0-1.1
posy-cursors 3.7.10-2
power-profiles-daemon 0.30-3
powertop 2.15-2.1
pv 1.10.3-1.1
python 3.13.11-2
python-black 25.12.0-1
python-defusedxml 0.7.1-7
python-isort 7.0.0-1
python-nose 1.3.7-18
python-packaging 25.0-1
python-pip 25.3-1
python-pipenv 2026.0.2-1
python-pyflakes 3.4.0-1
python-pynvim 0.6.0-1
python-pytest 1:8.4.2-1
qbittorrent 5.1.4-1
qt5-graphicaleffects 5.15.18-1.1
qt5-imageformats 5.15.18+kde+r2-1.1
qt5-multimedia 5.15.18+kde+r2-1.1
qt5-networkauth 5.15.18-1.1
qt5-quickcontrols2 5.15.18+kde+r5-1.1
qt5-script 5.15.19-3.1
qt5-sensors 5.15.18-1.1
qt5-serialport 5.15.18-1.1
qt5-speech 5.15.18+kde+r1-1.1
qt5-virtualkeyboard 5.15.18-1.1
qt5-webengine 5.15.19-4
qt5-xmlpatterns 5.15.18-1.1
qt6-tools 6.10.1-1.1
rebuild-detector 4.4.5-1
reflector 2023-3
ripgrep 15.1.0-2
rmpc 0.10.0-1.1
rofi 2.0.0-1.1
rsync 3.4.1-2.1
rtkit 0.14-1.1
ruby 3.4.7-2.1
rustup 1.28.2-4.1
s-nail 14.9.25-1.1
scrcpy 3.3.3-4.1
sddm 0.21.0-8
selectdefaultapplication-fork-git r72.4e8501d-1
sg3_utils 1.48-1.2
shellcheck 0.11.0-72
shfmt 3.12.0-1.1
smartmontools 7.5-1.1
snapper 0.13.0-2.1
sof-firmware 2025.05.1-1
spotify 1:1.2.79.425-1
sudo 1.9.17.p2-1.1
suil 0.10.24-1.1
switcheroo-control 3.0-1.1
syncthing 2.0.12-1.1
sysfsutils 2.1.1-2.2
telegram-desktop 6.3.9-1.1
tex-fmt 0.5.6-1
texinfo 7.2-1.1
texlab 5.24.0-1.1
texlive-basic 2025.2-2
texlive-bibtexextra 2025.2-2
texlive-binextra 2025.2-2
texlive-fontsextra 2025.2-2
texlive-langarabic 2025.2-2
texlive-langchinese 2025.2-2
texlive-langcjk 2025.2-2
texlive-langcyrillic 2025.2-2
texlive-langczechslovak 2025.2-2
texlive-langenglish 2025.2-2
texlive-langeuropean 2025.2-2
texlive-langfrench 2025.2-2
texlive-langgerman 2025.2-2
texlive-langgreek 2025.2-2
texlive-langitalian 2025.2-2
texlive-langjapanese 2025.2-2
texlive-langkorean 2025.2-2
texlive-langother 2025.2-2
texlive-langpolish 2025.2-2
texlive-langportuguese 2025.2-2
texlive-langspanish 2025.2-2
texlive-latexextra 2025.2-2
texlive-mathscience 2025.2-2
thunderbird 145.0-1.1
tmux 3.6_a-1.1
transmission-remote-gtk 1.6.0-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-inconsolata 1:3.000-5
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-linux-libertine 5.3.0-10
ttf-meslo-nerd 3.4.0-1
ttf-opensans 3.003-1
ttf-ubuntu-font-family 1:0.83-2
ufw 0.36.2-5
unrar 1:7.2.3-1.1
unzip 6.0-23.1
upower 1.91.0-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uv 0.9.18-2.1
uwsm 0.25.2-1
vi 1:070224-6.1
vim 9.1.1975-1.1
vlc 3.0.21-32.1
vlc-gui-skins2 3.0.21-32.1
vlc-plugins-all 3.0.21-32.1
vulkan-intel 1:25.3.2-2
waybar 0.14.0-5.1
wget 1.25.0-3.1
which 2.23-1.1
wikiman 2.14.1-2
wireless-regdb 2025.10.07-1
wireplumber 0.5.12-1.1
wl-clipboard 1:2.2.1-3.1
wofi 1.5.1-1.1
wpa_supplicant 2:2.11-3.1
